task,controller,seed,robot_count,steps,duration_s,success,collision_rate,cooperative_push_fraction,delivery_time_s,maximum_simultaneous_pushers,mean_command_effort,mean_distance_traveled_m,mean_push_alignment,object_goal_distance_m,pusher_utilization,transport_progress,transport_score
transport,rules,1011,8,350,35.00000000000023,0,0.4417857142857143,0.3028571428571429,35.00000000000023,5.0,0.7516790868482395,7.582888107305468,0.708516452279573,1.267893415495169,0.32285714285714284,0.5773688615016104,0.533190290073039
transport,rules,1012,8,155,15.499999999999961,1,0.15403225806451612,0.8387096774193549,15.499999999999961,4.0,0.8329445689575932,4.404752266436776,0.9607586623127373,0.34109960400594597,0.38306451612903225,0.886300131998018,0.8708969061915665
transport,rules,1013,8,302,30.20000000000016,1,0.3646523178807947,0.48013245033112584,30.20000000000016,5.0,0.7638948150076194,6.991452035078113,0.7851721742298712,0.3398986051797972,0.3344370860927152,0.8867004649400676,0.8502352331519881
transport,rules,1014,8,350,35.00000000000023,0,0.4625,0.3914285714285714,35.00000000000023,6.0,0.7567822191309181,7.514278640855733,0.6862671662854987,0.7893576307563408,0.335,0.7368807897478864,0.6906307897478864
transport,rules,1015,8,348,34.800000000000225,1,0.3800287356321839,0.4367816091954023,34.800000000000225,6.0,0.7776260888488382,8.148672559052276,0.7480843834450904,0.3335606678448757,0.3081896551724138,0.8888131107183748,0.8508102371551564
transport,rules,1016,8,334,33.400000000000205,1,0.39558383233532934,0.44610778443113774,33.400000000000205,6.0,0.7771148402110485,7.763248356130346,0.7266665621273768,0.339682965394255,0.3315868263473054,0.8867723448685817,0.8472139616350488
transport,rules,1017,8,350,35.00000000000023,0,0.4542857142857143,0.2742857142857143,35.00000000000023,5.0,0.7445722417882832,7.35646494495522,0.6574397812855907,1.3214580335113277,0.31857142857142856,0.5595139888295575,0.5140854174009861
transport,rules,1018,8,335,33.500000000000206,1,0.39552238805970147,0.4746268656716418,33.500000000000206,6.0,0.7707881697506174,7.70240560119777,0.7945598028844683,0.343151210052159,0.3156716417910448,0.885616263315947,0.8460640245099769
transport,rules,1019,8,256,25.600000000000094,1,0.38232421875,0.52734375,25.600000000000094,7.0,0.7870432412410857,6.174061446610595,0.7841467952360363,0.33353023773046875,0.34814453125,0.8888232540898438,0.8505908322148438
transport,rules,1000,12,124,12.399999999999972,1,0.14180107526881722,0.8951612903225806,12.399999999999972,5.0,0.8472334512257719,3.696074749805037,0.9717498504391453,0.34221426913632635,0.30981182795698925,0.8859285769545578,0.8717484694276761
